"사망원인별(104항목)","시도별","연령","성별","시점","사망자수[명]","사망률[십만명당]",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","1996 년","8","1.5",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","1997 년","3",".6",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","1998 년","6","1.3",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","1999 년","5","1.1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2000 년","3",".7",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2001 년","5","1.1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2002 년","5","1.1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2003 년","3",".7",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2004 년","4",".9",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2005 년","4","1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2006 년","2",".5",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2007 년","3",".8",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2008 년","2",".6",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2009 년","2",".6",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2010 년","0","",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2011 년","2",".6",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2012 년","1",".3",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2013 년","2",".6",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2014 년","1",".3",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2015 년","0","",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2016 년","1",".3",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2017 년","0","",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2018 년","0","",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2019 년","2",".6",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2020 년","1",".3",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2021 년","1",".3",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2022 년","4","1.4",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2023 년","0","",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","20 - 24세","남자","2024 년","1",".4",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","1996 년","12","2",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","1997 년","12","1.9",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","1998 년","6","1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","1999 년","7","1.2",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","2000 년","11","1.9",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","2001 년","5",".9",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","2002 년","5",".9",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","2003 년","8","1.6",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","2004 년","9","1.8",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","2005 년","5","1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","2006 년","7","1.4",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","2007 년","4",".8",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","서울특별시","25 - 29세","남자","2008 년","5","1",
