"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","계",51836239,51769539,51672569,51712619,51751065,51684564,51609121,51534551,51459877,51384052,51305713,51223269,51135265,51040632,50937726,50824868
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","0 - 4세",1776616,1618830,1494041,1387730,1296661,1219810,1163069,1132285,1126311,1144645,1182654,1227443,1266869,1300255,1327327,1348334
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","5 - 9세",2278285,2231797,2142084,2027744,1914933,1766989,1611458,1484748,1381117,1289904,1213921,1157815,1127373,1121485,1139688,1177391
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","10 - 14세",2250969,2297714,2311839,2289761,2273651,2271667,2221724,2136724,2023361,1910507,1763359,1608641,1482645,1379589,1288875,1213327
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","15 - 19세",2518218,2345886,2287873,2301077,2272843,2267007,2309228,2323747,2301322,2285032,2283155,2233375,2148742,2035900,1923663,1777168
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","20 - 24세",3392351,3278327,3105237,2953664,2838789,2660295,2494651,2431280,2426368,2389769,2384126,2426189,2440583,2418364,2402164,2400385
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","25 - 29세",3645542,3675202,3628784,3594717,3533643,3476469,3392971,3246886,3083875,2951792,2773392,2607482,2543679,2538480,2501988,2496575
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","30 - 34세",3307803,3306451,3390434,3524540,3615767,3670087,3717056,3685186,3632729,3559267,3502597,3419461,3273431,3110295,2978111,2799624
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","35 - 39세",3866979,3683026,3482511,3349843,3297256,3305481,3320524,3411604,3519526,3599061,3653968,3701374,3670012,3617976,3544873,3488502
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","40 - 44세",3872171,3944406,4035019,4066215,4023556,3851246,3679608,3488687,3343046,3282713,3291549,3307141,3398478,3506627,3586480,3641740
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","45 - 49세",4385732,4213912,4061992,3926944,3828741,3865770,3944572,4041970,4074072,4026680,3855874,3685334,3495431,3350483,3290592,3299778
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","50 - 54세",4338269,4425748,4489552,4525612,4459873,4367799,4202152,4057446,3927373,3825551,3863600,3943291,4041468,4074563,4028272,3858952
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","55 - 59세",4237067,4113626,4113957,4070751,4246026,4292571,4384454,4451091,4489822,4421800,4332354,4169855,4027734,3900082,3800410,3839460
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","60 - 64세",3814370,4064749,4148113,4258205,4211091,4155466,4042638,4045830,4005606,4176009,4224945,4318208,4386286,4426675,4361898,4275411
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","65 - 69세",2662232,2894911,3063850,3274183,3509250,3688605,3937463,4022461,4133555,4087901,4037170,3930899,3937019,3901597,4071468,4122684
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","70 - 74세",1990347,2090525,2164766,2234677,2322783,2527085,2753018,2919238,3124245,3351004,3528324,3771898,3856948,3967616,3926557,3881887
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","75 - 79세",1608464,1567444,1596539,1637098,1723662,1820534,1912336,1988025,2059642,2145482,2341230,2553812,2713279,2908241,3123040,3295733
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","80세이상",1890824,2016985,2155978,2289858,2382540,2477683,2522199,2667343,2807907,2936935,3073495,3161051,3325288,3482404,3642320,3907917
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","80 - 84세",1109242,1157812,1238755,1311746,1322888,1338962,1305676,1343140,1387561,1465132,1551816,1628432,1700342,1768443,1848045,2026780
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","85 - 89세",548700,605532,646358,685925,737630,778346,817041,886264,946008,955427,967698,942066,979181,1020938,1082263,1150235
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","90 - 94세",187321,203889,218926,235791,258561,289611,322117,351115,377656,408626,432609,455623,497877,533247,537883,544495
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","95 - 99세",40208,43381,45030,48645,56005,63135,69231,77612,86041,95480,107596,119873,130867,140750,152846,162285
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","100세 이상",5353,6371,6909,7751,7456,7629,8134,9212,10641,12270,13776,15057,17021,19026,21283,24122
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","계",25925697,25870941,25818686,25859888,25876776,25837903,25795052,25753184,25711849,25670259,25627273,25581979,25533877,25482355,25426558,25365537
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","0 - 4세",911251,830797,766227,711053,663673,623974,594599,578964,575930,585299,604754,627677,647854,664942,678800,689554
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","5 - 9세",1168681,1143757,1097221,1039269,981805,906030,826640,760939,707080,659636,620392,591346,575885,572889,582186,601482
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","10 - 14세",1161061,1183139,1189663,1176998,1167483,1164900,1138230,1094074,1036505,979031,903678,824719,759398,705847,658668,619656
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","15 - 19세",1307326,1216428,1183580,1188393,1171771,1167856,1187673,1194359,1181519,1171897,1169384,1142857,1098895,1041593,984416,909424
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","20 - 24세",1779560,1711404,1620461,1548436,1486372,1390474,1303354,1268442,1263926,1243827,1240140,1259763,1266446,1253874,1244346,1241638
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","25 - 29세",1949923,1962374,1933726,1915057,1878599,1841645,1792831,1715998,1630727,1558462,1462990,1375902,1340900,1336168,1315841,1312243
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","30 - 34세",1745712,1745107,1796779,1883794,1938196,1969945,1996598,1976227,1940894,1897043,1860277,1811583,1734624,1649105,1576669,1481047
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","35 - 39세",1999740,1907424,1808706,1750443,1731341,1744455,1757521,1812587,1878096,1925620,1957721,1984633,1964550,1929436,1885768,1849160
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","40 - 44세",1979773,2020470,2067075,2087030,2069513,1986113,1902383,1808708,1739757,1716248,1729692,1743081,1798310,1863987,1911735,1944070
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","45 - 49세",2225868,2138197,2061862,1995415,1947890,1968894,2013504,2063068,2081918,2061835,1979393,1896422,1803493,1735080,1711916,1725612
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","50 - 54세",2177535,2221205,2258061,2281401,2252613,2207838,2123780,2051380,1988040,1938731,1960386,2005496,2055509,2074964,2055631,1974299
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","55 - 59세",2121562,2068337,2068112,2034448,2117431,2142637,2188632,2227167,2252857,2223514,2180559,2098765,2028252,1966668,1918930,1941301
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","60 - 64세",1876783,1999375,2042614,2101922,2082774,2062168,2015600,2017632,1987872,2068825,2095621,2142545,2181994,2208753,2181721,2140944
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","65 - 69세",1280138,1394231,1478069,1584823,1700794,1787365,1908010,1952534,2013313,1996070,1978807,1936757,1940864,1914703,1995240,2023603
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","70 - 74세",928928,975339,1012668,1045428,1087769,1185734,1294560,1376471,1479793,1590428,1675366,1792141,1836543,1896799,1882663,1869368
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","75 - 79세",685809,675869,696606,722713,768879,816937,857801,896044,930457,971590,1063624,1163525,1240661,1336884,1439376,1520904
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","80세이상",626047,677488,737256,793265,829873,870938,893336,958590,1023165,1082203,1144489,1184767,1259699,1330663,1402652,1521232
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","80 - 84세",412934,438090,476263,510831,518803,531274,524559,548322,575242,614795,655862,687998,723126,754889,791760,872733
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","85 - 89세",162714,184329,201240,217654,238467,256289,274135,303962,329987,336056,345016,340707,361388,383895,412447,442065
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","90 - 94세",41611,45872,50323,54970,61639,71431,81638,91409,100949,111848,120909,130095,145902,159341,162045,166625
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","95 - 99세",7927,8158,8291,8601,9811,10842,11940,13732,15666,17961,21013,24117,27126,30049,33511,36407
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","남자","100세 이상",861,1039,1139,1209,1153,1102,1064,1165,1321,1543,1689,1850,2157,2489,2889,3402
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","계",25910542,25898598,25853883,25852731,25874289,25846661,25814069,25781367,25748028,25713793,25678440,25641290,25601388,25558277,25511168,25459331
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","0 - 4세",865365,788033,727814,676677,632988,595836,568470,553321,550381,559346,577900,599766,619015,635313,648527,658780
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","5 - 9세",1109604,1088040,1044863,988475,933128,860959,784818,723809,674037,630268,593529,566469,551488,548596,557502,575909
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","10 - 14세",1089908,1114575,1122176,1112763,1106168,1106767,1083494,1042650,986856,931476,859681,783922,723247,673742,630207,593671
