"시점","행정구역(시군구)별","성별",20 - 24세,25 - 29세
"2005","전국","남자",1959368.5,1989036
"2005","서울특별시","남자",420935,488733.5
"2005","부산광역시","남자",165628,152829.5
"2005","대구광역시","남자",107715,100803.5
"2005","인천광역시","남자",102966.5,103295
"2005","광주광역시","남자",61238,58026.5
"2005","대전광역시","남자",61826.5,61226
"2005","울산광역시","남자",43784,42253
"2005","경기도","남자",377255,418733
"2005","강원도","남자",62790,55194
"2005","충청북도","남자",61202.5,57519.5
"2005","충청남도","남자",79602,76627.5
"2005","전라북도","남자",80191.5,70365
"2005","전라남도","남자",80880,67154
"2005","경상북도","남자",107719.5,99397.5
"2005","경상남도","남자",123732,116225.5
"2005","제주특별자치도","남자",21903,20653
"2006","전국","남자",1860647,2022829.5
"2006","서울특별시","남자",397078.5,490170
"2006","부산광역시","남자",152692.5,155701.5
"2006","대구광역시","남자",101647,100838.5
"2006","인천광역시","남자",99522,106659
"2006","광주광역시","남자",57817,58380.5
"2006","대전광역시","남자",59507,62468
"2006","울산광역시","남자",41883,43820
"2006","경기도","남자",370005.5,435749
"2006","강원도","남자",58665,55307
"2006","충청북도","남자",58409,57799
"2006","충청남도","남자",74280,78685
"2006","전라북도","남자",74345.5,69424.5
"2006","전라남도","남자",74593.5,66753.5
"2006","경상북도","남자",102322.5,101511
"2006","경상남도","남자",117305.5,118858
"2006","제주특별자치도","남자",20573.5,20705
"2007","전국","남자",1756562,2056125
"2007","서울특별시","남자",372754.5,494900
"2007","부산광역시","남자",140138,157597.5
"2007","대구광역시","남자",95940.5,100620.5
"2007","인천광역시","남자",95948.5,110836.5
"2007","광주광역시","남자",54010.5,58936.5
"2007","대전광역시","남자",56392.5,63197
"2007","울산광역시","남자",40072.5,45187
"2007","경기도","남자",358268.5,449202.5
"2007","강원도","남자",54597,55379
"2007","충청북도","남자",55425,58535.5
"2007","충청남도","남자",69631,80424
"2007","전라북도","남자",68655.5,69073
"2007","전라남도","남자",68212.5,66512.5
"2007","경상북도","남자",96344.5,103295
"2007","경상남도","남자",111138,121779.5
"2007","제주특별자치도","남자",19033,20649
"2008","전국","남자",1676808,2074424
"2008","서울특별시","남자",352407.5,498976
"2008","부산광역시","남자",130635,156854.5
"2008","대구광역시","남자",92232,100086
"2008","인천광역시","남자",93461,113845.5
"2008","광주광역시","남자",50970,59330.5
"2008","대전광역시","남자",53955.5,62988.5
"2008","울산광역시","남자",39175,46376.5
"2008","경기도","남자",350224,456913.5
"2008","강원도","남자",52043.5,55281
"2008","충청북도","남자",53038,59311.5
"2008","충청남도","남자",65930.5,81422
"2008","전라북도","남자",64091.5,68875.5
"2008","전라남도","남자",62963.5,66366
"2008","경상북도","남자",91052,102937.5
"2008","경상남도","남자",106800,124306
"2008","제주특별자치도","남자",17829,20553.5
"2009","전국","남자",1643101,2039125.5
"2009","서울특별시","남자",341078.5,489531.5
"2009","부산광역시","남자",125538.5,151671
"2009","대구광역시","남자",91319.5,97124.5
"2009","인천광역시","남자",92629,112808
"2009","광주광역시","남자",49411.5,58672
"2009","대전광역시","남자",53140.5,61409.5
"2009","울산광역시","남자",39101,45974.5
"2009","경기도","남자",351815,452587
"2009","강원도","남자",50871,54265
"2009","충청북도","남자",51765,58661
"2009","충청남도","남자",63632,80422
"2009","전라북도","남자",61470,67410
"2009","전라남도","남자",59921,64728
"2009","경상북도","남자",89177,100012
"2009","경상남도","남자",105011,123772.5
"2009","제주특별자치도","남자",17220.5,20077
"2010","전국","남자",1638804,1951930
"2010","서울특별시","남자",334981,464883.5
"2010","부산광역시","남자",122782.5,142499.5
"2010","대구광역시","남자",91568.5,92301.5
"2010","인천광역시","남자",93218.5,108397
"2010","광주광역시","남자",49092.5,56517.5
"2010","대전광역시","남자",53134,59035.5
"2010","울산광역시","남자",39566,43429
"2010","경기도","남자",360941,439090.5
"2010","강원도","남자",50516.5,52054.5
"2010","충청북도","남자",51142.5,56827.5
"2010","충청남도","남자",62860.5,77495.5
"2010","전라북도","남자",60181,64600
"2010","전라남도","남자",58041.5,61646
"2010","경상북도","남자",89131,95405.5
