"청별(1)",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"청별(1)",수검인원,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무비대상,복무비대상,복무비대상,복무비대상,7급,7급,수검인원,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무비대상,복무비대상,복무비대상,복무비대상,7급,7급,수검인원,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무비대상,복무비대상,복무비대상,복무비대상,7급,7급,수검인원,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무비대상,복무비대상,복무비대상,복무비대상,7급,7급
"청별(1)",소계,1급,1급,2급,2급,3급,3급,4급,4급,5급,5급,6급,6급,소계,소계,소계,1급,1급,2급,2급,3급,3급,4급,4급,5급,5급,6급,6급,소계,소계,소계,1급,1급,2급,2급,3급,3급,4급,4급,5급,5급,6급,6급,소계,소계,소계,1급,1급,2급,2급,3급,3급,4급,4급,5급,5급,6급,6급,소계,소계
"청별(1)",인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%)
"계",254361,55791,21.9,83337,32.8,73006,28.7,28005,11.0,6956,2.7,791,0.3,6475,2.5,248361,54801,22.1,79346,31.9,73734,29.7,26560,10.7,6286,2.5,721,0.3,6913,2.8,238604,54317,22.8,74461,31.2,71324,29.9,25617,10.7,5803,2.4,695,0.3,6387,2.7,221604,53099,24.0,70740,31.9,67949,30.7,17391,7.8,4921,2.2,628,0.3,6876,3.1
"서울",41899,8660,20.7,13727,32.8,12337,29.4,4773,11.4,1102,2.6,148,0.4,1152,2.7,41703,8759,21.0,13434,32.2,12192,29.2,4604,11.0,1043,2.5,122,0.3,1549,3.7,40625,8590,21.1,12455,30.7,12099,29.8,4767,11.7,1033,2.5,131,0.3,1550,3.8,37356,8292,22.2,11864,31.8,11526,30.9,3301,8.8,837,2.2,120,0.3,1416,3.8
"부산·울산",20096,4252,21.2,6584,32.8,6158,30.6,2046,10.2,560,2.8,59,0.3,437,2.2,19986,4444,22.2,6434,32.2,6143,30.7,2016,10.1,447,2.2,63,0.3,439,2.2,18755,4283,22.8,5798,30.9,5859,31.2,1827,9.7,432,2.3,45,0.2,511,2.7,17584,4139,23.5,5485,31.2,5820,33.1,1331,7.6,361,2.1,43,0.2,405,2.3
"대구·경북",24589,5180,21.1,8029,32.7,7492,30.5,2662,10.8,712,2.9,60,0.2,454,1.8,23626,5169,21.9,7849,33.2,7126,30.2,2408,10.2,584,2.5,67,0.3,423,1.8,22059,5107,23.2,7205,32.7,6344,28.8,2376,10.8,571,2.6,59,0.3,397,1.8,20776,5169,24.9,6979,33.6,6069,29.2,1544,7.4,492,2.4,59,0.3,464,2.2
"경인",38253,8357,21.8,12289,32.1,10896,28.5,4178,10.9,1127,2.9,101,0.3,1305,3.4,37514,8538,22.8,12078,32.2,10817,28.8,3985,10.6,937,2.5,104,0.3,1055,2.8,36040,8281,23.0,11489,31.9,10465,29.0,3846,10.7,855,2.4,105,0.3,999,2.8,33978,8212,24.2,10545,31.0,10562,31.1,2616,7.7,763,2.2,89,0.3,1191,3.5
"광주·전남",17202,3995,23.2,5609,32.6,4542,26.4,1839,10.7,469,2.7,50,0.3,698,4.1,17117,3812,22.3,5420,31.7,4929,28.8,1905,11.1,448,2.6,51,0.3,552,3.2,15680,3700,23.6,4842,30.9,4600,29.3,1648,10.5,364,2.3,43,0.3,483,3.1,14568,3595,24.7,4504,30.9,4512,31.0,1184,8.1,295,2.0,36,0.2,442,3.0
"대전·충남",19773,4608,23.3,6270,31.7,5513,27.9,2342,11.8,537,2.7,83,0.4,420,2.1,19417,4357,22.4,5917,30.5,5740,29.6,2330,12.0,531,2.7,59,0.3,483,2.5,19435,4470,23.0,5975,30.7,6012,30.9,2031,10.5,493,2.5,64,0.3,390,2.0,17897,4568,25.5,5802,32.4,5274,29.5,1287,7.2,393,2.2,64,0.4,509,2.8
"강원",4778,1178,24.7,1504,31.5,1359,28.4,528,11.1,99,2.1,17,0.4,93,1.9,4401,1025,23.3,1298,29.5,1417,32.2,458,10.4,94,2.1,17,0.4,92,2.1,4313,975,22.6,1334,30.9,1347,31.2,421,9.8,108,2.5,10,0.2,118,2.7,4211,1044,24.8,1347,32.0,1283,30.5,315,7.5,99,2.4,12,0.3,111,2.6
"충북",7700,1803,23.4,2568,33.4,2242,29.1,779,10.1,183,2.4,20,0.3,105,1.4,7426,1697,22.9,2369,31.9,2198,29.6,740,10.0,196,2.6,21,0.3,205,2.8,7438,1710,23.0,2295,30.9,2189,29.4,826,11.1,190,2.6,28,0.4,200,2.7,6964,1660,23.8,2102,30.2,2121,30.5,621,8.9,182,2.6,27,0.4,251,3.6
"전북",10182,2369,23.3,3149,30.9,2680,26.3,1365,13.4,353,3.5,33,0.3,233,2.3,8651,1930,22.3,2549,29.5,2608,30.1,967,11.2,238,2.8,22,0.3,337,3.9,8736,1869,21.4,2591,29.7,2801,32.1,1019,11.7,197,2.3,19,0.2,240,2.7,7933,1948,24.6,2487,31.4,2432,30.7,578,7.3,180,2.3,19,0.2,289,3.6
"경남",16591,3712,22.4,5599,33.7,4803,28.9,1629,9.8,421,2.5,47,0.3,380,2.3,16219,3694,22.8,5238,32.3,4752,29.3,1643,10.1,445,2.7,47,0.3,400,2.5,15741,3784,24.0,4964,31.5,4671,29.7,1569,10.0,389,2.5,46,0.3,318,2.0,14262,3428,24.0,4752,33.3,4307,30.2,1046,7.3,349,2.4,42,0.3,338,2.4
"제주",3621,808,22.3,1219,33.7,1010,27.9,395,10.9,96,2.7,9,0.2,84,2.3,3479,753,21.6,1093,31.4,1036,29.8,385,11.1,94,2.7,7,0.2,111,3.2,3351,739,22.1,1055,31.5,987,29.5,369,11.0,78,2.3,11,0.3,112,3.3,3164,735,23.2,1037,32.8,958,30.3,266,8.4,76,2.4,5,0.2,87,2.7
"인천",28368,5761,20.3,10037,35.4,8048,28.4,3068,10.8,748,2.6,97,0.3,609,2.1,27870,6049,21.7,9247,33.2,8211,29.5,2847,10.2,755,2.7,88,0.3,673,2.4,26497,6284,23.7,8182,30.9,7935,29.9,2847,10.7,619,2.3,85,0.3,545,2.1,24383,5808,23.8,7914,32.5,7494,30.7,1862,7.6,474,1.9,62,0.3,769,3.2
"경기북부",18622,4397,23.6,5923,31.8,5176,27.8,2107,11.3,486,2.6,60,0.3,473,2.5,18411,3953,21.5,5606,30.4,5793,31.5,2044,11.1,425,2.3,51,0.3,539,2.9,17459,3905,22.4,5444,31.2,5326,30.5,1853,10.6,416,2.4,42,0.2,473,2.7,16273,3981,24.5,5149,31.6,4914,30.2,1291,7.9,367,2.3,46,0.3,525,3.2
"강원영동",2687,711,26.5,830,30.9,750,27.9,294,10.9,63,2.3,7,0.3,32,1.2,2541,621,24.4,814,32.0,772,30.4,228,9.0,49,1.9,2,0.1,55,2.2,2475,620,25.1,832,33.6,689,27.8,218,8.8,58,2.3,7,0.3,51,2.1,2255,520,23.1,773,34.3,677,30.0,149,6.6,53,2.4,4,0.2,79,3.5
