"신장별",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"신장별",계,서울,부산·울산,대구·경북,경인,광주·전남,대전·충남,강원,충북,전북,경남,제주,인천,경기북부,강원영동,계,서울,부산·울산,대구·경북,경인,광주·전남,대전·충남,강원,충북,전북,경남,제주,인천,경기북부,강원영동,계,서울,부산·울산,대구·경북,경인,광주·전남,대전·충남,강원,충북,전북,경남,제주,인천,경기북부,강원영동,계,서울,부산·울산,대구·경북,경인,광주·전남,대전·충남,강원,충북,전북,경남,제주,인천,경기북부,강원영동
"계 (명)",254361,41899,20096,24589,38253,17202,19773,4778,7700,10182,16591,3621,28368,18622,2687,248361,41703,19986,23626,37514,17117,19417,4401,7426,8651,16219,3479,27870,18411,2541,238604,40625,18755,22059,36040,15680,19435,4313,7438,8736,15741,3351,26497,17459,2475,221604,37356,17584,20776,33978,14568,17897,4211,6964,7933,14262,3164,24383,16273,2255
"138cm미만 (명)",6,0,0,1,1,1,1,0,0,0,0,0,2,0,0,7,1,1,2,1,0,0,0,0,0,0,0,0,2,0,10,2,0,1,2,0,1,0,0,1,0,0,2,1,0,7,2,0,1,1,1,0,0,0,0,0,0,1,1,0
"138-140.9cm (명)",4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,5,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141-145.9cm (명)",9,1,0,2,2,0,1,0,3,0,0,0,0,0,0,12,2,1,2,2,2,0,0,0,0,0,0,2,1,0,6,0,0,1,1,1,0,0,0,0,0,0,2,1,0,7,1,1,0,0,1,0,0,0,1,0,1,2,0,0
"146-150.9cm (명)",36,4,1,4,4,2,7,2,0,5,3,1,2,0,1,27,3,1,5,2,3,3,0,1,0,2,1,3,2,1,25,4,2,2,2,1,0,2,1,1,2,0,5,3,0,21,3,3,3,3,1,2,0,2,1,0,0,1,2,0
"151-155.9cm (명)",293,32,20,30,48,26,19,6,15,9,29,3,39,14,3,244,37,15,31,23,22,17,8,10,10,23,5,26,13,4,216,19,22,25,34,18,18,5,11,9,11,8,19,14,3,183,29,14,22,21,11,11,7,2,8,19,5,16,14,4
"156-160.9cm (명)",2665,339,266,288,376,190,192,52,88,116,181,46,315,178,38,2291,281,181,219,300,196,213,46,77,92,164,47,294,159,22,2113,296,186,216,258,171,196,26,79,87,133,51,270,127,17,1984,251,164,203,264,156,146,54,81,85,142,38,248,124,28
"161-165.9cm (명)",17150,2531,1489,1818,2521,1176,1372,313,548,683,1168,311,1912,1124,184,15501,2327,1312,1674,2278,1171,1195,282,496,495,1077,264,1719,1045,166,14146,2009,1140,1489,1941,1034,1222,284,497,484,971,241,1634,1025,175,12842,1851,1083,1288,1700,957,1145,274,453,482,897,199,1508,869,136
"166-170.9cm (명)",55573,8831,4714,5470,8496,3698,4316,1066,1719,2211,3631,912,6070,3867,572,52364,8498,4277,5077,7824,3715,4171,950,1639,1681,3454,812,5917,3804,545,48543,7865,3979,4900,6947,3308,4084,900,1613,1674,3187,771,5342,3512,461,44843,7169,3597,4383,6567,3015,3753,898,1440,1652,2930,729,4988,3237,485
"171-175.9cm (명)",84979,14009,6673,8259,12715,5760,6627,1548,2547,3384,5547,1248,9543,6279,840,83084,13931,6821,8071,12555,5680,6453,1440,2465,2840,5444,1163,9212,6195,814,79218,13467,6271,7338,11853,5250,6494,1388,2353,2954,5317,1141,8792,5757,843,73598,12616,5816,6908,11270,4773,5880,1395,2321,2655,4683,1057,8047,5456,721
"176-180.9cm (명)",63237,10825,4782,5953,9479,4347,4905,1166,1894,2523,4071,785,7078,4744,685,63252,11071,4973,5848,9639,4272,4875,1108,1866,2296,4066,805,7095,4695,643,62302,11107,4748,5481,9762,3926,4947,1135,1919,2325,4023,784,6926,4582,637,57832,10027,4591,5357,9149,3749,4598,1054,1772,2038,3670,734,6292,4226,575
"181-185.9cm (명)",24344,4262,1760,2194,3717,1614,1829,491,703,986,1582,266,2740,1910,290,25109,4401,1927,2131,3917,1624,1979,441,703,989,1574,310,2863,1969,281,25263,4608,1940,2066,4105,1565,1943,461,769,941,1647,278,2754,1930,256,23967,4298,1826,2066,3901,1541,1880,407,716,798,1523,323,2594,1854,240
"186-190.9cm (명)",5126,894,333,488,767,330,403,114,156,221,333,42,561,424,60,5508,991,402,480,830,358,425,107,148,212,362,60,633,444,56,5763,1071,391,457,971,351,463,95,165,221,385,67,634,430,62,5397,945,425,461,944,314,408,96,150,186,340,64,582,424,58
"191-195.9cm (명)",673,129,34,59,92,50,55,11,15,33,40,6,77,60,12,730,132,53,59,111,56,64,15,19,24,43,7,77,63,7,802,146,45,58,141,50,55,15,26,33,56,7,89,63,18,741,134,48,68,127,37,61,20,24,20,41,12,87,57,5
"196-200.9cm (명)",67,12,6,6,10,6,5,0,1,3,5,0,8,4,1,79,9,10,7,9,12,7,0,1,2,5,0,12,3,2,74,12,7,5,9,2,9,1,3,3,8,2,7,4,2,67,10,1,9,11,5,7,1,2,6,4,2,6,1,2
