"청별(1)",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"청별(1)",수검인원,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,재신체검사,재신체검사,수검인원,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,재신체검사,재신체검사,수검인원,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,재신체검사,재신체검사,수검인원,복무대상,복무대상,복무대상,복무대상,복무대상,복무대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,복무비대상,재신체검사,재신체검사
"청별(1)",소계,소계,소계,현역,현역,보충역,보충역,소계,소계,전시근로역(신분),전시근로역(신분),전시근로역(신체),전시근로역(신체),병역면제,병역면제,소계,소계,소계,소계,소계,현역,현역,보충역,보충역,소계,소계,전시근로역(신분),전시근로역(신분),전시근로역(신체),전시근로역(신체),병역면제,병역면제,소계,소계,소계,소계,소계,현역,현역,보충역,보충역,소계,소계,전시근로역(신분),전시근로역(신분),전시근로역(신체),전시근로역(신체),병역면제,병역면제,소계,소계,소계,소계,소계,현역,현역,보충역,보충역,소계,소계,전시근로역(신분),전시근로역(신분),전시근로역(신체),전시근로역(신체),병역면제,병역면제,소계,소계
"청별(1)",인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%)
"계",254361,240103,94.4,211322,83.1,28781,11.3,7783,3.1,36,0.0,6956,2.7,791,0.3,6475,2.5,248361,234410,94.4,207508,83.6,26902,10.8,7038,2.8,30,0.0,6286,2.5,722,0.3,6913,2.8,238604,225673,94.6,199804,83.7,25869,10.8,6549,2.7,51,0.0,5803,2.4,695,0.3,6382,2.7,221604,209146,94.4,191550,86.4,17596,8.0,5582,2.5,33,0.0,4921,2.2,628,0.3,6876,3.1
"서울",41899,39495,94.3,34570,82.5,4925,11.8,1252,3.0,2,0.0,1102,2.6,148,0.4,1152,2.7,41703,38985,93.5,34331,82.3,4654,11.2,1169,2.8,4,0.0,1043,2.5,122,0.3,1549,3.7,40625,37905,93.3,33095,81.5,4810,11.8,1170,2.9,6,0.0,1033,2.5,131,0.3,1550,3.8,37356,34979,93.6,31642,84.7,3337,8.9,961,2.6,4,0.0,837,2.2,120,0.3,1416,3.8
"부산·울산",20096,19031,94.7,16934,84.3,2097,10.4,628,3.1,9,0.0,560,2.8,59,0.3,437,2.2,19986,19032,95.2,17004,85.1,2028,10.1,515,2.6,4,0.0,447,2.2,64,0.3,439,2.2,18755,17765,94.7,15923,84.9,1842,9.8,483,2.6,6,0.0,432,2.3,45,0.2,507,2.7,17584,16773,95.4,15430,87.8,1343,7.6,406,2.3,2,0.0,361,2.1,43,0.2,405,2.3
"대구·경북",24589,23352,95.0,20596,83.8,2756,11.2,783,3.2,11,0.0,712,2.9,60,0.2,454,1.8,23626,22548,95.4,20101,85.1,2447,10.4,655,2.8,4,0.0,584,2.5,67,0.3,423,1.8,22059,21029,95.3,18643,84.5,2386,10.8,633,2.9,3,0.0,571,2.6,59,0.3,397,1.8,20776,19758,95.1,18201,87.6,1557,7.5,554,2.7,3,0.0,492,2.4,59,0.3,464,2.2
"경인",38253,35718,93.4,31444,82.2,4274,11.2,1230,3.2,2,0.0,1127,2.9,101,0.3,1305,3.4,37514,35417,94.4,31389,83.7,4028,10.7,1042,2.8,1,0.0,937,2.5,104,0.3,1055,2.8,36040,34067,94.5,30166,83.7,3901,10.8,974,2.7,14,0.0,855,2.4,105,0.3,999,2.8,33978,31928,94.0,29274,86.2,2654,7.8,859,2.5,7,0.0,763,2.2,89,0.3,1191,3.5
"광주·전남",17202,15984,92.9,14092,81.9,1892,11.0,520,3.0,1,0.0,469,2.7,50,0.3,698,4.1,17117,16063,93.8,14138,82.6,1925,11.2,502,2.9,3,0.0,448,2.6,51,0.3,552,3.2,15680,14790,94.3,13122,83.7,1668,10.6,407,2.6,0,0.0,364,2.3,43,0.3,483,3.1,14568,13793,94.7,12606,86.5,1187,8.1,333,2.3,2,0.0,295,2.0,36,0.2,442,3.0
"대전·충남",19773,18731,94.7,16329,82.6,2402,12.1,622,3.1,2,0.0,537,2.7,83,0.4,420,2.1,19417,18344,94.5,15982,82.3,2362,12.2,590,3.0,0,0.0,531,2.7,59,0.3,483,2.5,19435,18484,95.1,16428,84.5,2056,10.6,561,2.9,4,0.0,493,2.5,64,0.3,390,2.0,17897,16926,94.6,15617,87.3,1309,7.3,462,2.6,5,0.0,393,2.2,64,0.4,509,2.8
"강원",4778,4568,95.6,4027,84.3,541,11.3,117,2.4,1,0.0,99,2.1,17,0.4,93,1.9,4401,4198,95.4,3735,84.9,463,10.5,111,2.5,0,0.0,94,2.1,17,0.4,92,2.1,4313,4077,94.5,3652,84.7,425,9.9,118,2.7,0,0.0,108,2.5,10,0.2,118,2.7,4211,3989,94.7,3671,87.2,318,7.6,111,2.6,0,0.0,99,2.4,12,0.3,111,2.6
"충북",7700,7392,96.0,6595,85.6,797,10.4,203,2.6,0,0.0,183,2.4,20,0.3,105,1.4,7426,7003,94.3,6254,84.2,749,10.1,218,2.9,1,0.0,196,2.6,21,0.3,205,2.8,7438,7019,94.4,6185,83.2,834,11.2,219,2.9,1,0.0,190,2.6,28,0.4,200,2.7,6964,6504,93.4,5882,84.5,622,8.9,209,3.0,0,0.0,182,2.6,27,0.4,251,3.6
"전북",10182,9563,93.9,8175,80.3,1388,13.6,386,3.8,0,0.0,353,3.5,33,0.3,233,2.3,8651,8052,93.1,7062,81.6,990,11.4,262,3.0,2,0.0,238,2.8,22,0.3,337,3.9,8736,8280,94.8,7251,83.0,1029,11.8,216,2.5,0,0.0,197,2.3,19,0.2,240,2.7,7933,7443,93.8,6861,86.5,582,7.3,201,2.5,2,0.0,180,2.3,19,0.2,289,3.6
