"체중별",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"체중별",계,서울,부산·울산,대구·경북,경인,광주·전남,대전·충남,강원,충북,전북,경남,제주,인천,경기북부,강원영동,계,서울,부산·울산,대구·경북,경인,광주·전남,대전·충남,강원,충북,전북,경남,제주,인천,경기북부,강원영동,계,서울,부산·울산,대구·경북,경인,광주·전남,대전·충남,강원,충북,전북,경남,제주,인천,경기북부,강원영동,계,서울,부산·울산,대구·경북,경인,광주·전남,대전·충남,강원,충북,전북,경남,제주,인천,경기북부,강원영동
"계 (명)",254361,41899,20096,24589,38253,17202,19773,4778,7700,10182,16591,3621,28368,18622,2687,248361,41703,19986,23626,37514,17117,19417,4401,7426,8651,16219,3479,27870,18411,2541,238604,40625,18755,22059,36040,15680,19435,4313,7438,8736,15741,3351,26497,17459,2475,221604,37356,17584,20776,33978,14568,17897,4211,6964,7933,14262,3164,24383,16273,2255
"38kg미만 (명)",59,10,4,5,7,5,4,1,1,2,6,3,5,3,3,61,2,5,4,11,8,3,1,2,2,6,0,10,6,1,54,4,3,2,13,3,2,1,4,1,3,1,14,2,1,43,7,2,3,9,3,2,0,1,0,1,0,9,5,1
"38-40.9kg (명)",246,28,20,35,32,18,21,4,7,11,15,1,30,22,2,216,25,16,25,32,10,20,1,6,11,17,6,34,10,3,248,32,19,21,54,17,26,5,8,10,16,0,28,11,1,237,37,28,18,34,18,12,4,4,12,12,2,36,16,4
"41-45.9kg (명)",2452,356,184,244,368,124,199,44,89,129,148,26,311,205,25,2071,320,127,184,338,145,180,37,58,67,118,30,259,187,21,2065,324,157,172,330,131,200,38,63,79,136,21,238,160,16,1920,300,134,164,317,136,155,35,78,52,115,26,231,161,16
"46-50.9kg (명)",8588,1358,608,821,1266,578,742,155,247,394,530,83,1037,682,87,7477,1194,517,729,1152,567,573,143,229,234,466,82,924,591,76,7126,1177,508,607,1137,449,631,155,236,260,446,93,814,543,70,6364,1060,467,538,1042,402,531,139,209,208,399,66,721,517,65
"51-55.9kg (명)",17923,2909,1362,1774,2707,1187,1446,339,539,690,1197,201,2043,1330,199,17199,2773,1322,1664,2651,1181,1351,333,558,564,1106,205,1951,1400,140,16655,2780,1257,1467,2638,1040,1397,303,514,602,1036,219,1912,1337,153,15265,2517,1239,1361,2498,1011,1247,289,466,520,853,185,1697,1219,163
"56-60.9kg (명)",28787,4719,2187,2694,4428,1994,2222,552,824,1120,1903,385,3250,2183,326,28117,4729,2070,2622,4433,1996,2260,505,851,924,1794,332,3154,2182,265,27460,4636,2092,2426,4219,1857,2328,521,834,986,1781,327,3050,2129,274,24786,4327,1841,2193,4005,1578,2046,481,831,869,1603,302,2704,1812,194
"61-65.9kg (명)",36247,6073,2832,3472,5564,2506,2709,654,1050,1387,2410,514,4027,2700,349,35594,6087,2888,3210,5571,2433,2822,625,1015,1286,2298,444,3971,2597,347,34569,6139,2704,3024,5461,2249,2833,600,1044,1207,2249,432,3746,2520,361,31853,5593,2482,2990,5046,2043,2614,587,961,1108,1963,420,3449,2301,296
"66-70.9kg (명)",37481,6465,2953,3540,5784,2523,2879,716,1032,1451,2435,519,4043,2764,377,37020,6474,2999,3498,5644,2485,2777,649,1111,1228,2423,517,4052,2774,389,35253,6114,2873,3211,5457,2282,2840,617,1036,1217,2351,453,3790,2665,347,32573,5744,2567,2951,5159,2064,2602,588,957,1105,2133,485,3506,2391,321
"71-75.9kg (명)",32936,5421,2695,3221,5008,2138,2511,643,1040,1329,2187,441,3607,2357,338,31979,5458,2684,3015,4853,2086,2517,575,898,1162,2045,464,3600,2290,332,30613,5312,2458,2806,4648,2014,2479,539,982,1078,2002,452,3369,2179,295,28751,4903,2284,2735,4385,1867,2225,533,829,1040,1934,415,3160,2181,260
"76-80.9kg (명)",25426,4162,2090,2437,3804,1713,1942,504,804,978,1674,405,2812,1839,262,25098,4279,2151,2458,3779,1697,1874,415,727,819,1663,363,2796,1823,254,23722,4079,1962,2310,3514,1500,1818,418,697,886,1637,367,2644,1645,245,22273,3802,1852,2116,3365,1442,1760,390,710,817,1532,301,2388,1539,259
"81-85.9kg (명)",18609,3079,1479,1815,2788,1235,1457,314,596,715,1241,281,2089,1333,187,18600,3062,1566,1883,2750,1282,1361,300,577,645,1262,273,2078,1355,206,17441,2918,1393,1755,2523,1171,1394,289,548,654,1167,268,1934,1243,184,16232,2701,1301,1615,2366,1137,1264,320,493,589,1086,259,1778,1136,187
"86-90.9kg (명)",13387,2189,1144,1312,1900,917,1044,233,418,558,874,210,1484,955,149,13126,2184,1099,1227,1851,924,1057,212,400,505,906,204,1498,904,155,12563,2079,1005,1195,1801,857,1025,223,430,459,873,209,1393,874,140,11761,1950,999,1157,1656,803,978,218,373,463,741,159,1274,855,135
"91-95.9kg (명)",9609,1525,758,1009,1428,643,732,174,299,434,604,152,1062,672,117,9425,1545,763,895,1336,693,774,172,306,328,612,155,1082,668,96,8985,1493,690,900,1225,599,697,172,302,368,628,157,1010,635,109,8502,1285,683,878,1177,619,707,165,299,319,532,147,971,631,89
"96-100.9kg (명)",6828,1131,578,665,970,481,549,126,242,268,421,118,759,453,67,6779,1097,536,674,1000,469,529,130,209,243,481,117,733,494,67,6478,1053,503,651,918,428,523,125,228,253,447,111,737,420,81,6143,971,501,612,839,423,517,125,192,233,418,110,714,421,67
"101kg이상 (명)",15588,2446,1184,1529,2176,1139,1276,310,501,709,945,281,1788,1106,198,15459,2457,1231,1519,2093,1136,1306,299,478,624,1018,282,1713,1114,189,15254,2468,1107,1492,2089,1080,1239,306,510,673,968,240,1798,1087,197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101-105.9kg (명)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4507,640,378,430,651,296,375,105,161,190,303,91,521,303,63
"106-110.9kg (명)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3264,500,236,331,435,221,272,76,131,128,210,52,387,243,42
"111-115.9kg (명)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2262,320,195,241,321,167,167,52,91,85,126,38,261,166,32
"116-120.9kg (명)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1634,235,140,154,221,122,136,30,66,58,101,29,195,132,15
"121kg이상 (명)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3125,445,242,283,433,209,281,69,111,136,187,77,371,236,45
"기타 (명)",195,28,18,16,23,1,40,9,11,7,1,1,21,18,1,140,17,12,19,20,5,13,4,1,9,4,5,15,16,0,118,17,24,20,13,3,3,1,2,3,1,1,20,9,1,109,19,13,6,19,7,6,5,1,1,13,0,10,8,1
"평균 (kg)",72.9,72.8,73.2,73.1,72.6,73.2,73.0,73.0,73.5,73.3,72.6,74.7,72.8,72.4,73.5,73.1,73.0,73.6,73.4,72.5,73.3,73.3,73.1,73.3,73.9,73.4,75.2,73.0,72.6,74.2,73.1,72.9,73.0,73.8,72.4,73.5,72.8,73.3,73.6,73.9,73.3,74.9,73.2,72.6,74.4,73.4,72.8,73.7,74.0,72.6,73.8,73.5,73.9,73.9,74.2,73.6,75.6,73.6,73.1,75.0
"중앙치 (kg)",70.3,70.2,70.7,70.5,70.0,70.2,70.2,70.4,71.2,70.6,70.1,71.6,70.2,69.8,70.6,70.4,70.4,71.0,70.7,69.9,70.4,70.4,70.2,70.4,71.0,70.7,72.2,70.4,69.9,71.5,70.3,70.2,70.5,71.1,69.7,70.6,69.9,70.3,70.9,71.0,70.6,72.2,70.4,69.7,71.2,70.6,70.2,71.0,71.2,69.8,71.0,70.4,70.8,70.8,71.3,71.0,72.1,70.7,70.3,72.2
"최솟값 (kg)",26.4,31.6,34.2,30.4,27.9,35.0,34.2,26.4,37.9,35.6,35.7,30.9,32.5,32.2,33.5,19.0,35.3,32.6,19.0,28.5,32.4,32.8,35.8,36.4,36.4,34.9,39.8,33.7,25.0,34.6,13.0,13.0,32.6,34.9,31.5,34.5,36.9,37.4,31.6,37.9,34.9,35.6,28.2,36.9,35.7,27.7,32.3,34.9,27.7,29.7,32.2,36.4,38.1,37.7,38.4,37.2,40.5,27.9,31.2,36.7
"최댓값 (kg)",216.9,183.0,182.0,177.4,202.9,177.0,189.0,176.4,157.6,168.1,190.8,171.8,216.9,172.6,153.0,216.9,177.7,198.5,179.1,195.3,177.6,186.3,172.6,202.7,184.5,164.0,188.7,216.9,168.0,163.4,224.6,190.3,192.3,185.4,194.3,178.2,183.0,172.5,176.6,179.1,172.9,166.9,224.6,208.5,160.3,214.2,197.9,210.3,214.2,188.4,168.3,188.8,171.6,199.7,175.1,188.0,165.6,197.7,205.5,162.1
